loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,run_name
19.6669,1417.86328125,9.478168264110757e-05,0.16,50,,,,,,,,,,baseline_en_bn
10.8539,149.7488555908203,8.945686900958466e-05,0.32,100,,,,,,,,,,baseline_en_bn
7.3203,13.149704933166504,8.413205537806177e-05,0.48,150,,,,,,,,,,baseline_en_bn
5.8898,133.4823455810547,7.880724174653888e-05,0.64,200,,,,,,,,,,baseline_en_bn
5.366,4.172303676605225,7.348242811501597e-05,0.8,250,,,,,,,,,,baseline_en_bn
5.0415,3.791846513748169,6.815761448349308e-05,0.96,300,,,,,,,,,,baseline_en_bn
,,,1.0,313,3.533851146697998,5.834,85.704,21.426,,,,,,baseline_en_bn
4.8083,3.7772555351257324,6.283280085197019e-05,1.1184,350,,,,,,,,,,baseline_en_bn
4.6986,3.2962489128112793,5.750798722044729e-05,1.2784,400,,,,,,,,,,baseline_en_bn
4.6401,2.9355289936065674,5.2183173588924395e-05,1.4384000000000001,450,,,,,,,,,,baseline_en_bn
4.5028,3.0808897018432617,4.6858359957401496e-05,1.5984,500,,,,,,,,,,baseline_en_bn
4.454,3.625182867050171,4.15335463258786e-05,1.7584,550,,,,,,,,,,baseline_en_bn
4.4204,2.9873220920562744,3.6208732694355704e-05,1.9184,600,,,,,,,,,,baseline_en_bn
,,,2.0,626,3.1857705116271973,6.0852,82.166,20.542,,,,,,baseline_en_bn
4.3761,2.8925275802612305,3.08839190628328e-05,2.0768,650,,,,,,,,,,baseline_en_bn
4.2928,4.040654182434082,2.5559105431309903e-05,2.2368,700,,,,,,,,,,baseline_en_bn
4.3248,2.778841495513916,2.0234291799787007e-05,2.3968,750,,,,,,,,,,baseline_en_bn
4.3199,2.519015312194824,1.4909478168264113e-05,2.5568,800,,,,,,,,,,baseline_en_bn
4.2403,3.019871950149536,9.584664536741214e-06,2.7168,850,,,,,,,,,,baseline_en_bn
4.2781,2.4755470752716064,4.259850905218317e-06,2.8768000000000002,900,,,,,,,,,,baseline_en_bn
,,,3.0,939,3.1324260234832764,6.2701,79.743,19.936,,,,,,baseline_en_bn
,,,3.0,939,,,,,707.9648,21.187,1.326,642972016680960.0,5.902856568812816,baseline_en_bn
,,,3.0,939,3.1324260234832764,5.9244,84.397,21.099,,,,,,baseline_en_bn
