loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,run_name
20.0837,16092.69921875,9.478168264110757e-05,0.16,50,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
10.7588,57.590641021728516,8.945686900958466e-05,0.32,100,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
7.768,19.92220115661621,8.413205537806177e-05,0.48,150,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
6.358,5.494747161865234,7.880724174653888e-05,0.64,200,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
5.8119,5.58176851272583,7.348242811501597e-05,0.8,250,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
5.4663,4.541158676147461,6.815761448349308e-05,0.96,300,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
,,,1.0,313,4.03975772857666,5.7368,87.157,21.789,,,,,,reverse_bn_en_for_filtered_backtranslation
5.2644,3.9675347805023193,6.283280085197019e-05,1.1184,350,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
5.0064,3.5857505798339844,5.750798722044729e-05,1.2784,400,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.9712,4.546483993530273,5.2183173588924395e-05,1.4384000000000001,450,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.8459,4.590868949890137,4.6858359957401496e-05,1.5984,500,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.747,3.7457971572875977,4.15335463258786e-05,1.7584,550,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.7527,3.7900545597076416,3.6208732694355704e-05,1.9184,600,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
,,,2.0,626,3.6410415172576904,5.7066,87.617,21.904,,,,,,reverse_bn_en_for_filtered_backtranslation
4.6292,4.143182277679443,3.08839190628328e-05,2.0768,650,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.5531,4.921841621398926,2.5559105431309903e-05,2.2368,700,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.6026,4.025930881500244,2.0234291799787007e-05,2.3968,750,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.5934,3.790498971939087,1.4909478168264113e-05,2.5568,800,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.5163,3.5193064212799072,9.584664536741214e-06,2.7168,850,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
4.559,3.686100482940674,4.259850905218317e-06,2.8768000000000002,900,,,,,,,,,,reverse_bn_en_for_filtered_backtranslation
,,,3.0,939,3.5816986560821533,5.4045,92.515,23.129,,,,,,reverse_bn_en_for_filtered_backtranslation
,,,3.0,939,,,,,598.4592,25.064,1.569,905413621063680.0,6.2213843592439595,reverse_bn_en_for_filtered_backtranslation
,,,3.0,939,3.5816986560821533,5.3275,93.853,23.463,,,,,,reverse_bn_en_for_filtered_backtranslation
